name,category_code,founded_year,total_money_raised,latitude,longitude
Digg,news,2004.0,$45M,37.764726,-122.394523
Twitter,social,2006.0,$1.16B,37.7768052,-122.4169244
StumbleUpon,web,2002.0,$18.5M,37.775196,-122.419204
Powerset,search,2006.0,$22.5M,37.778613,-122.395289
Technorati,advertising,2002.0,$32.1M,37.779558,-122.393041
Kyte,games_video,2006.0,$23.4M,37.788482,-122.409173
Prosper,finance,2006.0,$120M,37.78976,-122.402524
Ustream,games_video,2007.0,$60.1M,37.392936,-122.07948
Revision3,games_video,2005.0,$9M,37.757758,-122.388243
CastTV,games_video,2006.0,$3.1M,37.780716,-122.393913
Mashery,enterprise,2006.0,$34.7M,37.7870842,-122.4038047
Yelp,search,2004.0,$90M,37.786183,-122.402195
Pageflakes,web,2006.0,$4.1M,37.758113,-122.414689
Swivel,search,2005.0,$2M,37.789268,-122.395184
Slide,public_relations,2005.0,$78M,37.781427,-122.392144
Bebo,web,2005.0,$15M,37.782103,-122.401116
Dogster,web,2004.0,$1M,37.762681,-122.400909
adBrite,advertising,2003.0,$40.4M,37.779026,-122.40184
Loomia,web,2004.0,$7.5M,37.796396,-122.404869
Seesmic,web,2007.0,$16M,37.775196,-122.419204
Flixster,web,2006.0,$7.18M,37.766909,-122.406676
Piczo,network_hosting,1990.0,$11M,37.793703,-122.398479
PowerReviews,social,,$40.1M,37.779558,-122.393041
hi5,games_video,2003.0,$52M,37.788668,-122.400558
Tagged,social,2004.0,$28.7M,37.7753,-122.4186
Curse,games_video,2006.0,$12M,37.787092,-122.399972
Grockit,social,2006.0,$44.7M,37.775196,-122.419204
Kiptronic,advertising,2005.0,$7.3M,37.792394,-122.402349
Snapfish,network_hosting,1999.0,$43.5M,37.78554,-122.396689
Viagogo,ecommerce,2005.0,$65M,51.500152,-0.126236
Metacafe,games_video,2003.0,$50M,37.437328,-122.159928
Kontera,advertising,2003.0,$36.1M,37.767575,-122.411157
TokBox,messaging,2007.0,$26M,37.779507,-122.39071
Yola,web,2007.0,$25M,37.7911148,-122.3954751
BitTorrent,web,2004.0,$40.8M,37.790998,-122.394668
Kongregate,games_video,2006.0,$19M,37.786942,-122.401245
DanceJam,games_video,2007.0,$4.5M,37.781557,-122.407959
Kiva,finance,2005.0,$9M,37.762125,-122.4147
Fathom Online,advertising,2002.0,$6M,37.775196,-122.419204
Zivity,network_hosting,2007.0,$8M,37.789488,-122.397593
Mevio,games_video,2004.0,$48.9M,37.782263,-122.392142
Atom Entertainment,web,,$22.9M,37.790964,-122.401128
Greystripe,advertising,2005.0,$17.6M,37.710677,-122.39323
Trulia,search,2004.0,$255M,37.766909,-122.406676
OpenTable,web,1998.0,$48M,37.785647,-122.405265
Crunchyroll,games_video,2008.0,$4.8M,37.781265,-122.393229
TripIt,travel,2006.0,$13.1M,37.764169,-122.402021
Jawbone,hardware,1999.0,$403M,37.768708,-122.402866
3Jam,mobile,2005.0,$4M,37.765125,-122.4044034
Zannel,web,,$16M,37.775196,-122.419204
Wikinvest,web,2006.0,$2.5M,37.775196,-122.419204
Rupture,games_video,,$3M,37.783898,-122.395234
Whiskey Media,web,2007.0,$4M,37.856331,-122.495222
Blurb,ecommerce,2005.0,$21.6M,37.792968,-122.40414
The Climate Corporation,cleantech,2006.0,$109M,37.782809,-122.394354
Automattic,web,2005.0,$30.6M,37.744274,-122.421344
Radar Networks,advertising,,$24M,37.7753,-122.398058
Gydget,web,2007.0,$1M,37.791733,-122.398398
Songbird,mobile,2006.0,$11M,37.787126,-122.39783
